Year;Maximum Water Height (m);Total Deaths;Total Damage ($Mil);Total Houses Destroyed;Total Houses Damaged;Country
1968;1.2;20;0.6;500;1951;GREECE
1968;3.07;1;;;;JAPAN
1968;3;;;;;ITALY
1968;;;;;;CHILE
1968;6;52;131;1218;;JAPAN
1968;0.58;;;;;JAPAN
1968;0.95;;;;;JAPAN
1968;0.05;;;;;NEW ZEALAND
1968;0.16;270;8;;;PHILIPPINES
1968;0.03;;;;;JAPAN
1968;0.4;;;;;INDONESIA
1968;10;200;;800;;INDONESIA
1968;3;24;;2000;;TURKEY
1968;;3;;;;VENEZUELA
1968;2;15;;;;MEXICO
1969;4;664;;1287;;INDONESIA
1969;0.9;25;;;;PORTUGAL
1969;;3;;;;PHILIPPINES
1969;;2;;107;;EGYPT
1969;5;;;;;SWEDEN
1969;0.1;;;;;JAPAN
1969;0.06;;;;;ATLANTIC OCEAN
1969;0.1;10;;15190;24810;CHINA
1969;;;;;;PAPUA NEW GUINEA
1969;5;;;;;RUSSIA
1969;2.9;;;;;SOUTH AFRICA
1969;15;;;;;RUSSIA
1969;0.46;;;;;GUADELOUPE (FRENCH TERRITORY)
1970;0.06;;;;;PHILIPPINES
1970;0.03;;;;;USA
1970;;15;;;;PHILIPPINES
1970;;;;;;RUSSIA
1970;0.46;66794;530;;;PERU
1970;;;;;;CHILE
1970;;;;;;CHILE
1970;0.32;;;;;JAPAN
1970;1;;;;;NEW ZEALAND
1970;;;;;;PHILIPPINES
1970;3;18;1.75;800;;PAPUA NEW GUINEA
1970;;;;;;CHILE
1970;0.8;;;;;RUSSIA
1971;30;600;;;;PERU
1971;0.04;;;;;USA
1971;1.2;83;236.4;;;CHILE
1971;6;3;;;;PAPUA NEW GUINEA
1971;10;;;;;PAPUA NEW GUINEA
1971;0.51;;;;;JAPAN
1971;2;;;;;RUSSIA
1971;0.32;;;;;RUSSIA
1971;;;;;;SOLOMON ISLANDS
1971;0.09;;;;;RUSSIA
1971;0.07;;;;;RUSSIA
1971;1.8;;;;;PAPUA NEW GUINEA
1971;0.03;;;;;RUSSIA
1971;0.1;;;;;USA
1971;0.47;;;;;RUSSIA
1972;0.05;1;;5;;TAIWAN
1972;0.42;;;;;JAPAN
1972;;;;;;CHILE
1972;0.1;;;;;USA
1972;0.6;;;;;PAPUA NEW GUINEA
1972;1.5;;;;;PAPUA NEW GUINEA
1972;;;;;;JAPAN
1972;;;;;;PAPUA NEW GUINEA
1972;0.5;;;;;PHILIPPINES
1972;0.5;;;;;JAPAN
1972;;;;;;CHILE
1973;1.13;56;;;;MEXICO
1973;1.5;;;;;RUSSIA
1973;1.3;15;0.45;;;PHILIPPINES
1973;5.96;;5;2;;JAPAN
1973;0.64;;;;;RUSSIA
1973;0.21;;;;;RUSSIA
1973;0.4;;;;;CHILE
1973;;2;;;;INDONESIA
1974;1.5;;;;;SOLOMON ISLANDS
1974;4.5;;;;;SOLOMON ISLANDS
1974;0.2;30;;134;;JAPAN
1974;;;;;;CHILE
1974;0.37;;;;;RUSSIA
1974;0.92;78;10;;;PERU
1974;2.8;;;;;CANADA
1974;0.5;;;;;PAPUA NEW GUINEA
1974;;5300;3.255;;;PAKISTAN
1975;;;;81;;INDONESIA
1975;;2;;;;CHILE
1975;4.1;;;;;CANADA
1975;0.5;;;;;ATLANTIC OCEAN
1975;5.5;;;;;RUSSIA
1975;2;;;;;PAPUA NEW GUINEA
1975;3;1;;30;;PHILIPPINES
1975;14.3;2;4;;;USA
1975;0.25;;;;;FIJI
1975;0.38;;;;;SAMOA
1976;0.9;;;;;NEW ZEALAND
1976;0.38;;;;;RUSSIA
1976;0.12;23000;2147;;;GUATEMALA
1976;;5;;;;PANAMA
1976;9;8000;134;;;PHILIPPINES
1977;0.08;;;;;SAMOA
1977;0.15;34;;;;SOLOMON ISLANDS
1977;;;;;;SOLOMON ISLANDS
1977;0.04;18;;;;SOLOMON ISLANDS
1977;0.4;1;1.2;;;TONGA
1977;15;189;1.2;;;INDONESIA
1977;0.5;;;;;PAPUA NEW GUINEA
1977;0.6;;;;;PAPUA NEW GUINEA
1977;0.03;;;;;TONGA
1978;0.35;25;;85;544;JAPAN
1978;0.07;;;;;RUSSIA
1978;0.05;;;;;RUSSIA
1978;0.17;;;;;RUSSIA
1978;0.3;;;;;RUSSIA
1978;0.65;;;;;RUSSIA
1978;0.6;28;865;;;JAPAN
1978;;;;;;INDIA
1978;0.03;;;;;PHILIPPINES
1978;0.45;50;250;;;GREECE
1978;0.6;;;;;ITALY
1978;0.05;;;;;TAIWAN
1978;0.12;;;;;SPAIN
1978;;;;;;NEW ZEALAND
1978;1.5;9;;;;MEXICO
1978;3;;;;;VIETNAM
1979;0.12;;;;;JAPAN
1979;0.15;;;;;USA
1979;1.3;5;30;200;;MEXICO
1979;4.8;3;;;;JAPAN
1979;;;;;;MONTENEGRO
1979;0.6;131;2700;;;MONTENEGRO
1979;;;;;;GREECE
1979;9;1239;;;;INDONESIA
1979;;;;;;INDONESIA
1979;;;;;;VENEZUELA
1979;2;115;;1000;;INDONESIA
1979;2;;;;;NORWAY
1979;10;9;;;;FRANCE
1979;;;;;;FIJI
1979;6;600;8;10000;;COLOMBIA
1980;0.41;69;5;15000;;PORTUGAL
1980;0.16;;;;;RUSSIA
1980;250;61;;;;USA
1980;;;;;;PORTUGAL
1980;0.56;;;;;JAPAN
1980;0.14;;;;;SOLOMON ISLANDS
1980;0.7;5000;5200;250000;;ALGERIA
1981;0.37;;;;;JAPAN
1981;0.3;22;812;8000;;GREECE
1981;1;;;;;GREECE
1981;0.29;;;;;SOUTH AFRICA
1981;0.3;;;;;NEW ZEALAND
1981;1;;;;;SAMOA
1981;2;;;;;INDONESIA
1981;0.09;3;;;;MEXICO
1982;0.1;;;;;PHILIPPINES
1982;;;;;;INDONESIA
1982;0.1;;;;;INDONESIA
1982;1.3;110;1;;;JAPAN
1982;0.4;;;;;JAPAN
1982;0.2;;;;;TONGA
1982;;13;1.45;1875;;INDONESIA
1982;0.19;;;;;JAPAN
1983;;;;;;GREECE
1983;3;;;;;INDONESIA
1983;0.13;;;;;PAPUA NEW GUINEA
1983;14.93;104;800;3513;;JAPAN
1983;0.6;;;;;JAPAN
1983;1;;;;;JAPAN
1983;;;;;;GREECE
1983;0.1;;;;;RUSSIA
1983;0.1;16;;;;PHILIPPINES
1983;;;;;;INDONESIA
1983;7;;;;;NORWAY
1983;0.2;5;1;40;;CHILE
1983;1.5;;;;;UK TERRITORY
1984;;2;0.5;;685;INDONESIA
1984;;;;;;GREECE
1984;0.2;;;;;RUSSIA
1984;0.5;;;;;JAPAN
1984;0.2;;;;;JAPAN
1984;5;37;;;;CAMEROON
1984;0.13;;;;;JAPAN
1984;0.2;;;;;RUSSIA
1985;3.5;180;1500;;;CHILE
1985;0.12;;;;;GUADELOUPE (FRENCH TERRITORY)
1985;2;;;;;INDONESIA
1985;1.3;;1;;;PAPUA NEW GUINEA
1985;3;9500;4000;;;MEXICO
1985;1.2;;;;;MEXICO
1986;0.9;;;;;USA
1986;;;;;;USA
1986;75;1700;;;;CAMEROON
1986;0.22;;;;;NEW ZEALAND
1986;0.3;15;;;;TAIWAN
1987;0.1;;;;;JAPAN
1987;1.5;3;2.625;;;PAPUA NEW GUINEA
1987;3;;;;;NORWAY
1987;0.2;1;;;;CHILE
1987;0.04;2;;;;JAPAN
1987;0.16;;;;;JAPAN
1987;;;;;;NEW ZEALAND
1987;;;;;;SOLOMON ISLANDS
1987;0.1;;;;;VANUATU
1987;0.25;;;;;TONGA
1987;0.04;;;;;PAPUA NEW GUINEA
1987;0.07;;;;;PAPUA NEW GUINEA
1987;0.06;;;;;USA
1987;0.1;;;;;INDONESIA
1987;0.43;;;;;USA
1988;0.1;;;;;CHILE
1988;0.19;;0.005;;;USA
1988;2;;;;;ITALY
1988;;;;;;USA
1988;1.03;;;;;PHILIPPINES
1988;;;;;;PAPUA NEW GUINEA
1988;;5;;;;BANGLADESH
1988;0.09;1;;100;;SOLOMON ISLANDS
1988;;998;131.5;;;BANGLADESH
1989;0.15;;;;;AUSTRALIA
1989;0.29;;;;;USA
1989;0.1;;;;;USA
1989;1;62;5600;;;USA
1989;0.11;;;;;JAPAN
1989;;30;5;;;ALGERIA
1989;0.1;;;;;USA TERRITORY
1989;0.9;;;;;JAPAN
1990;2.1;;0.9;;600;PHILIPPINES
1990;0.16;;;;;JAPAN
1990;1;;;8;34;COSTA RICA
1990;1.8;;;;;USA TERRITORY
1990;5;;;;;PHILIPPINES
1990;2;40000;7200;100000;;IRAN
1990;0.2;;;;;JAPAN
1990;0.1;19;500;;;ITALY
1990;0.04;;;;;TAIWAN
1991;;;;;;GREECE
1991;0.02;;;;;SOLOMON ISLANDS
1991;0.1;;;;;RUSSIA
1991;0.15;;;;;USA
1991;3;90;510;;;COSTA RICA
1991;0.5;;;;;GREECE
1991;0.15;;;;;SOLOMON ISLANDS
1991;0.52;;;;;RUSSIA
1992;0.8;;;;;CHINA
1992;1.8;;66;;;USA
1992;6;;;12;;PHILIPPINES
1992;;;;;;SOLOMON ISLANDS
1992;3;;;;;USA
1992;0.3;;;;;JAPAN
1992;;;;;;JAPAN
1992;9.9;170;30;1500;;NICARAGUA
1992;26.2;2500;100;31785;;INDONESIA
1993;0.5;;;;;JAPAN
1993;;5;;;;WALLIS AND FUTUNA (FRENCH TERRITORY)
1993;0.1;;;;;RUSSIA
1993;;;;;;NEW ZEALAND
1993;32;231;1207;2374;;JAPAN
1993;0.16;;;;;JAPAN
1993;2.4;;250;;;USA TERRITORY
1993;0.05;;;;;RUSSIA
1994;1.5;;;;;USA
1994;0.1;60;40000;40000;;USA
1994;2;9;;;550;INDONESIA
1994;;;;;;INDONESIA
1994;0.11;;;;;JAPAN
1994;4;;;;;NORWAY
1994;0.02;;;;;TAIWAN
1994;13.9;238;2.2;1500;;INDONESIA
1994;3.7;;;;;INDONESIA
1994;;;;;;INDONESIA
1994;3;;;;;INDONESIA
1994;0.07;;;;;USA
1994;0.24;1;;;;TAIWAN
1994;3;4;86;;;PAPUA NEW GUINEA
1994;10.4;11;;;;RUSSIA
1994;3;1;;;500;INDONESIA
1994;0.2;;;;;RUSSIA
1994;9;1;25;;;USA
1994;7.3;81;3.7;797;3288;PHILIPPINES
1994;0.53;3;170.4;;;JAPAN
1994;0.5;;;;;RUSSIA
1995;0.34;5502;100000;200000;;JAPAN
1995;0.09;;;;;SAMOA
1995;0.2;;;;;PHILIPPINES
1995;0.2;;;;;PHILIPPINES
1995;;;;;;GREECE
1995;4;11;;;;INDONESIA
1995;0.5;;;;;NEW CALEDONIA
1995;0.1;1989;300;;;RUSSIA
1995;1;26;660;;;GREECE
1995;3;3;1.791;115;;CHILE
1995;0.28;;;;;PAPUA NEW GUINEA
1995;0.4;3;;;;MEXICO
1995;11;50;;;;MEXICO
1995;2.59;;;;;JAPAN
1995;1.5;;;;;JAPAN
1995;0.1;;;;;CHILE
1995;4;11;;;;EGYPT
1995;1.1;;;;;RUSSIA
1996;3.43;9;1.2;400;;INDONESIA
1996;2;;;;;GREECE
1996;30;;;;;RUSSIA
1996;7.7;164;4.2;5043;;INDONESIA
1996;5.04;12;;15;22;PERU
1996;0.1;;;;;MEXICO
1996;0.5;;;;;SWITZERLAND
1996;0.51;;;;;USA
1996;0.18;;;;;USA
1996;0.3;;;;;JAPAN
1996;0.09;;;;;CHILE
1996;0.11;;;;;TAIWAN
1996;0.2;;;;;JAPAN
1996;0.55;;;;;JAPAN
1996;0.4;14;;;4000;PERU
1996;0.2;;;;;JAPAN
1997;2;;;;;NEW CALEDONIA
1997;15;;0.3;;;HONDURAS
1997;;;;;;AUSTRALIA
1997;3;;;7;;SOLOMON ISLANDS
1997;;81;81;;;VENEZUELA
1997;0.03;;;;;JAPAN
1997;0.1;;;;;TONGA
1997;8;;;;;RUSSIA
1997;8;;;;;RUSSIA
1997;3;;;;;MONTSERRAT
1998;6;;;;;NORWAY
1998;0.01;;;;;ANTARCTICA
1998;0.13;;;;;TAIWAN
1998;0.01;;;;;JAPAN
1998;15.03;1636;;;;PAPUA NEW GUINEA
1998;2.75;41;200;1000;;INDONESIA
1999;2;;;;;MONTSERRAT
1999;2.52;17118;20000;;50000;TURKEY
1999;8;;;;;FRENCH POLYNESIA
1999;6.6;10;;;;VANUATU
2000;20;;;300;;PHILIPPINES
2000;0.5;;;;;GREECE
2000;6;46;30;10000;;INDONESIA
2000;0.3;;;;;AUSTRALIA
2000;0.07;1;;;;JAPAN
2000;0.07;;;;20;JAPAN
2000;0.14;;;;;JAPAN
2000;4.6;;;;;USA
2000;3;2;;;;PAPUA NEW GUINEA
2000;50;;;;;GREENLAND
2000;;;;;;RUSSIA
2001;0.25;844;753;108226;169632;EL SALVADOR
2001;8.8;103;200;25399;;PERU
2001;0.11;;;;;CANADA
2001;0.16;;;;;TAIWAN
2002;3;;;;;VANUATU
2002;3;15;1.714;;800;PHILIPPINES
2002;4;;;;;GREECE
2002;0.05;;;;;JAPAN
2002;0.2;5;;100;;TAIWAN
2002;5.5;4;;;873;PAPUA NEW GUINEA
2002;;2;;40;;INDIA
2002;5;8;;1000;900;INDONESIA
2002;;;;;;NEW ZEALAND
2002;10.9;;;;;ITALY
2003;2;;;;;SOLOMON ISLANDS
2003;0.61;29;;2005;6615;MEXICO
2003;3;2287;5000;19000;163000;ALGERIA
2003;0.08;9;;;;ALGERIA
2003;4;;;;;MONTSERRAT
2003;;;;;;ANTARCTICA
2003;0.5;;;;;GREECE
2003;0.15;;;;;NEW ZEALAND
2003;4.4;2;90;;;JAPAN
2003;0.32;;;;;JAPAN
2003;0.33;;;;;USA
2003;0.15;;;;;NEW CALEDONIA
2004;;;;;;INDONESIA
2004;1;;;;;JORDAN
2004;0.63;;;;;JAPAN
2004;0.93;;;;;JAPAN
2004;0.06;;;;;CANADA
2004;2;34;;781;16712;INDONESIA
2004;2;1;;;;GUADELOUPE (FRENCH TERRITORY)
2004;;;;;;NEW ZEALAND
2004;0.12;;;;;JAPAN
2004;0.3;;;;;AUSTRALIA
2004;50.9;227899;10000;;;INDONESIA
2005;0.39;;;;;JAPAN
2005;;;;;;GUADELOUPE (FRENCH TERRITORY)
2005;4.2;1313;;300;;INDONESIA
2005;0.4;;;;;INDONESIA
2005;0.1;;;;;USA
2005;0.05;;;1;;JAPAN
2005;0.42;;;;;JAPAN
2005;0.08;;;;;CANADA
2006;;;;;;JAPAN
2006;9;;;;;USA
2006;3.5;4;1;241;;INDONESIA
2006;0.27;;;;;TONGA
2006;1;;;;;MONTSERRAT
2006;6;;33;;;SPAIN
2006;20.9;802;55;1623;;INDONESIA
2006;;1;;;;SOUTH KOREA
2006;0.08;;;;;SAMOA
2006;0.1;;;;;USA
2006;0.15;;;;;TAIWAN
2006;21.9;;;;;RUSSIA
2006;0.07;2;;;;TAIWAN
2007;0.4;;;;;RUSSIA
2007;0.08;;;;;VANUATU
2007;0.1;1;;513;;JAPAN
2007;1.65;4;2;;;SOUTH KOREA
2007;12.1;52;;2500;500;SOLOMON ISLANDS
2007;50;10;;;2;CHILE
2007;3;;;;;BULGARIA
2007;10;;;;;PAPUA NEW GUINEA
2007;50;8;;15;;CHINA
2007;;9;;875;;JAPAN
2007;3.2;2;;11;20;RUSSIA
2007;0.03;;;;;USA
2007;10.05;514;;52154;23632;PERU
2007;0.05;;;;;SOLOMON ISLANDS
2007;5;25;;56425;;INDONESIA
2007;0.35;;;;;NEW ZEALAND
2007;0.28;2;;;;CHILE
2007;;;;;;MARTINIQUE (FRENCH TERRITORY)
2007;38;;;;;CANADA
2007;0.03;;;;;KERMADEC ISLANDS
2008;0.12;;;;;INDONESIA
2008;0.16;;;;;NEW CALEDONIA
2008;0.03;;;;;VANUATU
2008;1.3;9;;;;SOUTH KOREA
2008;;87652;86000;5360000;;CHINA
2008;0.2;;;;;JAPAN
2008;0.19;;;;;USA
2008;2.55;;;;;SOUTH AFRICA
2008;0.09;6;;;1000;JAPAN
2008;3.6;;0.02;;;USA
2008;0.13;6;;;1000;INDONESIA
2008;13.1;;0.746;;;CHINA
2009;0.39;5;;;840;INDONESIA
2009;;;;;;INDONESIA
2009;0.11;;;;;RUSSIA
2009;0.13;;;;597;INDONESIA
2009;0.15;;;;;TONGA
2009;4;7;;135;25;HONDURAS
2009;0.3;;;;;GREECE
2009;0.47;;;;;NEW ZEALAND
2009;0.01;;;;;INDIA
2009;0.6;1;;5192;;JAPAN
2009;0.18;;;;;INDONESIA
2009;;;;;;USA
2009;0.4;81;;;54000;INDONESIA
2009;22.35;192;285;;;SAMOA
2009;0.27;1117;2200;;181665;INDONESIA
2009;0.29;;;;;VANUATU
2010;;1;;;;SOUTH KOREA
2010;0.01;;;;;SOLOMON ISLANDS
2010;7.52;;;16;60;SOLOMON ISLANDS
2010;0.03;;;;;SOLOMON ISLANDS
2010;3.21;316000;8000;97294;188383;HAITI
2010;0.1;;;;;JAPAN
2010;29;558;30000;;500000;CHILE
2010;0.14;;;;;CHILE
2010;0.44;;;;;INDONESIA
2010;23;1;;50;;PERU
2010;;;;;;COOK ISLANDS
2010;0.04;;;;;USA TERRITORY
2010;0.03;;;;;INDIA
2010;0.23;;;;;VANUATU
2010;0.07;;;;;USA TERRITORY
2010;16.9;431;39;700;;INDONESIA
2010;0.13;;;;;JAPAN
2010;4.1;;;;;VANUATU
2011;0.03;;;;;VANUATU
2011;0.15;;;;;CHILE
2011;3.5;185;15000;100000;;NEW ZEALAND
2011;0.6;;;;;JAPAN
2011;39.26;18429;220136.6;123661;280920;JAPAN
2011;0.08;3;;;;JAPAN
2011;0.03;;;;;NEW CALEDONIA
2011;0.1;;;;;USA
2011;0.4;;;;;UK
2011;1.2;;;;;NEW ZEALAND
2011;0.09;;;;;JAPAN
2011;1.5;;;;;NORWAY
2011;;;;;;NORWAY
2011;0.19;;;;;VANUATU
2011;0.15;;;;;VANUATU
2011;0.06;;;;;USA
2011;0.14;;;;;NEW ZEALAND
2012;0.08;;;;;VANUATU
2012;0.05;;;;;VANUATU
2012;0.2;;;;;JAPAN
2012;0.2;2;600;800;;MEXICO
2012;1.08;10;;;;INDONESIA
2012;;;;;;INDONESIA
2012;;;;;;VANUATU
2012;;;;;;GREENLAND
2012;6.3;;;;;EL SALVADOR
2012;0.15;1;0.3;;;PHILIPPINES
2012;0.16;2;;;;COSTA RICA
2012;12.98;1;;;;CANADA
2012;0.35;48;210;2769;7561;GUATEMALA
2012;1;;;;;JAPAN
2012;;;;;;CHINA
2013;1.5;;;;;USA
2013;11;10;36;588;478;SOLOMON ISLANDS
2013;0.09;;;;;SOLOMON ISLANDS
2013;0.2;;;;;RUSSIA
2013;0.13;;;;;MEXICO
2013;1.8;;;;;USA
2013;0.01;;;;;GREECE
2013;0.07;;;;35;NEW ZEALAND
2013;0.08;;;;;NEW ZEALAND
2013;0.57;825;;32638;14118;PAKISTAN
2013;0.01;;;;;GREECE
2013;0.4;;;;;JAPAN
2013;0.15;;;;;ANTARCTICA
2014;0.26;;;;;CHILE
2014;4.63;7;100;;2600;CHILE
2014;0.74;;;;;CHILE
2014;0.05;;;;;SOLOMON ISLANDS
2014;0.16;;;;;SOLOMON ISLANDS
2014;0.43;;;;127;MEXICO
2014;0.11;;;;;PAPUA NEW GUINEA
2014;0.16;3;4500;;;GREECE
2014;0.13;;;;;NEW ZEALAND
2014;0.17;;;;;USA
2014;2.5;;;;;SPAIN
2014;2;;;;;UKRAINE
2014;0.2;;;;;JAPAN
2014;60;;;;;ICELAND
2014;0.08;;;;;USA
2014;0.47;;;;;CHILE
2014;0.02;1;;5;41;EL SALVADOR
2014;0.09;;;;;INDONESIA
2015;0.27;;;;;JAPAN
2015;8;;;;;VANUATU
2015;0.5;;;;;PAPUA NEW GUINEA
2015;0.6;;;;;JAPAN
2015;1;;;;;PAPUA NEW GUINEA
2015;;;;;;NORWAY
2015;6.2;2;;;;CHINA
2015;0.18;;;;;SCOTLAND
2015;0.01;;;;;SOLOMON ISLANDS
2015;0.09;;;;;SOLOMON ISLANDS
2015;0.08;;;;;USA
2015;13.6;15;600;2305;10044;CHILE
2015;193;;;;;USA
2015;0.55;;;;;CHILE
2015;0.3;;;;;JAPAN
2015;0.15;2;;1;;GREECE
2015;0.1;;;;;SOLOMON ISLANDS
2016;0.02;1;;;;MOROCCO
2016;0.21;;;;;INDONESIA
2016;0.5;663;3300;6998;29672;ECUADOR
2016;0.02;;;;;VANUATU
2016;0.19;;;;;NEW CALEDONIA
2016;0.1;;;;;UK TERRITORY
2016;0.01;;;;;JAPAN
2016;0.21;;;;;NEW ZEALAND
2016;6.9;2;3900;1;;NEW ZEALAND
2016;1.44;;;;;JAPAN
2016;0.08;;;;;NICARAGUA
2016;0.43;1;;191;126;SOLOMON ISLANDS
2016;0.05;;;;;SOLOMON ISLANDS
2016;0.08;;;;;PAPUA NEW GUINEA
2016;0.44;;;;;CHILE
2017;0.01;;;;;FIJI
2017;0.04;3;;;;PAPUA NEW GUINEA
2017;3;5;10;85;;IRAN
2017;0.16;;;;;CHILE
2017;0.2;;;1;;PHILIPPINES
2017;0.06;;;;;USA
2017;2;;;;;NETHERLANDS
2017;0.4;1;;10;250;GREECE
2017;90;4;;11;;GREENLAND
2017;0.1;;;;;RUSSIA
2017;8;;;1;;COLOMBIA
2017;1.9;2;;;;TURKEY
2017;2.7;98;4000;47468;94027;MEXICO
2017;0.15;;;;;NEW CALEDONIA
2017;0.1;;;;;NEW CALEDONIA
2017;8.5;1;;3;3;VIETNAM
2017;0.05;;;;;NEW CALEDONIA
2017;0.08;;;;;NEW CALEDONIA
2017;0.37;;;;;NEW CALEDONIA
2017;0.5;;;;;KERMADEC ISLANDS
2018;0.4;;;;7;HONDURAS
2018;0.15;;;;;PERU
2018;0.25;;;;;USA
2018;1;;;;;PAPUA NEW GUINEA
2018;0.4;;370;716;;USA
2018;0.15;;;;;JAPAN
2018;0.22;;;;;USA
2018;0.75;1;;;;SPAIN
2018;2.5;17;;5448;;INDONESIA
2018;2;560;509;;83392;INDONESIA
2018;;;;;;FIJI
2018;;2;;;1705;INDONESIA
2018;;5;;;;VENEZUELA
2018;0.27;;;;;NEW CALEDONIA
2018;10.73;4340;1500;3673;39191;INDONESIA
2018;0.05;;;;;NEW CALEDONIA
2018;0.5;;;;120;GREECE
2018;2;;;;;NEW CALEDONIA
2018;90;;;;;RUSSIA
2018;85;437;250;;2844;INDONESIA
2019;2.9;;;;;JAPAN
2019;1.75;;;;;USA
2019;;;;;;PAPUA NEW GUINEA
2019;0.07;;;;;CHILE
2019;0.14;;;;;NEW ZEALAND
2019;0.1;;;;144;JAPAN
2019;0.3;;;;;ITALY
2019;0.11;1;;;36;INDONESIA
2020;0.06;4;800;300;1390;USA TERRITORY
2020;0.11;;;1;;CUBA
2020;0.5;;;;;RUSSIA
2020;0.5;;;;;USA
2020;0.35;;;;;GREECE
2020;3;1;;;;INDONESIA
2020;0.5;;;;;USA
2020;0.11;;;;;NEW ZEALAND
2020;1.57;10;;;8123;MEXICO
2020;0.24;;;;;USA
2020;0.76;;;;;USA
2020;3.8;118;400;;;TURKEY
2020;0.5;;;;;SPAIN
2020;0.16;;;;;CHILE
2021;0.04;;;;;ANTARCTICA
2021;0.78;;;;;NEW CALEDONIA
2021;0.28;;;;;NEW ZEALAND
2021;0.31;;;;;NEW ZEALAND
2021;1;;;;;NEW ZEALAND
2021;0.06;;;;;ALGERIA
2021;0.5;;;;;INDONESIA
2021;0.5;;;;;USA
2021;0.05;1;;;;PHILIPPINES
2021;0.64;;;;;UK TERRITORY
2021;;2248;;53815;83770;HAITI
2021;0.48;3;;;7317;MEXICO
2021;;;;;;GREECE
